id,fecha_publicacion,dia_semana,hora,tipo,caption,hook_primera_linea,tema,link,views,alcance,likes,comentarios,guardados,compartidos,tiempo_promedio_seg,actualizado
18616169593023686,26/8/2026 21:00:08,miércoles,30/12/1899 21:00:00,Reel,"Si estás por Segovia, guardate este plan porque Sepúlveda es una escapadita que vale muchísimo la pena 🤍
Es uno de esos pueblos que parecen sacados de una película: callecitas de piedra, miradores increíbles y un ambiente súper tranquilo para pasar la tarde sin apuro 🏘️✨

Mis recomendaciones: 📍 Perderte por el casco histórico 📍 Visitar la iglesia de El Salvador 📍 Subir a los miradores 📍 Recorrer las Hoces del Río Duratón 📍 Y, si te da el tiempo, sentarte a comer algo rico y disfrutar del pueblo

Amiga, si buscás un plan diferente para pasar una tarde cerca de Madrid, Sepúlveda es una joyita 🫶🏼

¿Vos ya conocías este lugar? 👀

#sepulveda #españa #pueblosdeespaña #escapada #madrid","Si estás por Segovia, guardate este plan porque Sepúlveda es una escapadita que vale muchísimo la pena 🤍",Guías y rutas,https://www.instagram.com/reel/Dcg6iWLRJIv/,1057,728,405,97,6,95,7.5,26/9/2026 6:07:32
17915574450241839,26/8/2026 19:45:37,miércoles,30/12/1899 19:45:00,Reel,"Si estás por Segovia, guardate este plan porque Sepúlveda es una escapadita que vale muchísimo la pena 🤍
Es uno de esos pueblos que parecen sacados de una película: callecitas de piedra, miradores increíbles y un ambiente súper tranquilo para pasar la tarde sin apuro 🏘️✨

Mis recomendaciones: 📍 Perderte por el casco histórico 📍 Visitar la iglesia de El Salvador 📍 Subir a los miradores 📍 Recorrer las Hoces del Río Duratón 📍 Y, si te da el tiempo, sentarte a comer algo rico y disfrutar del pueblo

Amiga, si buscás un plan diferente para pasar una tarde cerca de Madrid, Sepúlveda es una joyita 🫶🏼

¿Vos ya conocías este lugar? 👀

#sepulveda #españa #pueblosdeespaña #escapada #madrid","Si estás por Segovia, guardate este plan porque Sepúlveda es una escapadita que vale muchísimo la pena 🤍",Guías y rutas,https://www.instagram.com/reel/Dcgx2C9OVIp/,119,113,1,0,1,,2.9,26/9/2026 6:07:33
17951563995237514,11/8/2026 18:15:02,martes,30/12/1899 18:15:00,Carrusel,"Elche no estaba en tu lista… pero debería 🌴✨ Guardá esta ruta para descubrir un lugar distinto

#elche #palmeras🌴 #planesverano #quehacerenelche #verano

Acá bajás el ritmo sin darte cuenta 🌿 Pequeño, pero de esos lugares que te hacen frenar
En lo personal me encantó, es muy tranquilo el lugar, tenes muchos rincones demasiado hermosos y está súper cuidado, limpio y ordenado 10/10

#huertodelcura #pavosreales #naturaleza

No parece España… pero lo es 🌴 Un lugar diferente, tranquilo y que casi nadie valora
Súper lindo sobretodo si queres estar fresquito en verano

#palmeralelche

Sin multitudes, sin apuro… solo caminar ✨ Así se disfruta de verdad

#centrohistoricoelche

El corazón de la ciudad ⛪ Rápido de ver, pero imposible de saltear

#basilicadesantamaria

Elche no es una ciudad de “checklist”
👉 es para ir lento
👉 para desconectar
👉 para disfrutar lo simple
A veces viajar es simplemente bajar un cambio 🌴",Elche no estaba en tu lista… pero debería 🌴✨ Guardá esta ruta para descubrir un lugar distinto,Guías y rutas,https://www.instagram.com/p/Db5_rsbDWEg/,747,615,435,149,10,,,26/9/2026 6:07:34
18041033024809694,21/7/2026 19:57:09,martes,30/12/1899 19:57:00,Reel,"✨ SHEIN HAUL ✨

Por fin les enseño los 3 vestidos que me pedí de Shein y necesito que me ayuden a decidir💖

¿Cuál es su favorito?
✨ 1, 2 o 3... ¡Los leo! 👇

.
.
.
.
@shein_spain @sheinofficial 
#sheinhaul #sheinfinds #vestidosshein #outfitinspiration #fashionﬁnds",✨ SHEIN HAUL ✨,Moda / compras,https://www.instagram.com/reel/DbEGDipOX3n/,2542,757,516,127,8,2695,5,26/9/2026 6:07:35
17947949919236781,13/7/2026 18:04:18,lunes,30/12/1899 18:04:00,Carrusel,"⚠️ Los 10 spots donde tenés que sacarte una foto en Salamanca 🇪🇸📸

Si vas a Salamanca y no pasás por estos lugares… posta te estás perdiendo lo mejor 😮‍💨
Es una ciudad que parece una película: piedra dorada, miradores, historia en cada esquina y rincones que te sorprenden sin avisar ✨

📍 Acá tenés los 10 spots más fotogénicos que tenés que guardar sí o sí: • Miradores con vistas increíbles • Puentes y torres históricas • Rincones secretos para fotos únicas 📸 • Y un mapa para que no te pierdas ninguno
.
💡 Guardalo antes del viaje así lo tenés a mano
.
💬 ¿Cuántos de estos conocías?
.
.
.
.
#salamanca #queverensalamanca #escapada 

📍1 - Embarcadero del río Tormes Un rincón tranqui al lado del agua 🌿 Ideal para fotos relajadas con reflejos y buena luz

📍2 - Puente Romano Más de 2.000 años de historia 🌉 Uno de los spots más icónicos de Salamanca, y al atardecer es otro nivel 🌅
.
.
.
.
#salamanca #puenteromano #riotormes #fotossalamanca #españa 

📍3 - Mirador de la Celestina Una de las mejores vistas de toda la ciudad ✨ Perfecto para fotos con el casco histórico de fondo

📍4 - Mirador de Santo Domingo Más tranquilo, menos gente 😌 Ideal si querés fotos sin que te molesten
.
.
.
.
#miradoressalamanca #fotospot #salamanca #españa 

📍 5 - Ieronimus (torres de la Catedral) Subís acá y Salamanca queda abajo tuyo 🔝 Vistas increíbles de toda la ciudad

📍 6 - Mirador de las Claras Chiquito pero re lindo ✨ De esos lugares que no esperás y te sorprenden
.
.
.
.
#catedralsalamanca #ieronimus

📍 7 - Scala Coeli Un mirador con historia y vistas increíbles ⛪ Perfecto para fotos verticales bien dramáticas 📸

📍 8 - Cerro de San Vicente Uno de los puntos más antiguos de la ciudad 🏺 El atardecer acá es de los mejores 🌅

📍 9 - Mirador de los Irlandeses Un spot poco conocido pero con vistas zarpadas ✨ Ideal si querés fotos sin gente alrededor

📍 10 - Palacio de Monterrey Arquitectura increíble 🏰 Uno de los edificios más lindos y fotogénicos de Salamanca

🗺️ Mapa con los 10 spots en Salamanca 📍

Acá tenés todas las ubicaciones juntas para que armes la ruta sin perderte ninguno ✨

💡 Guardalo antes del viaje así lo usás de guía
Porque en Salamanca… cada esquina",⚠️ Los 10 spots donde tenés que sacarte una foto en Salamanca 🇪🇸📸,Guías y rutas,https://www.instagram.com/p/DavTWNCjbX4/,606,611,435,93,20,9,,26/9/2026 6:07:37
17956771016982972,8/7/2026 22:32:12,miércoles,30/12/1899 22:32:00,Reel,"A veces, el mejor destino no está en el mapa… 🌍✨

Está en ese lugar donde todo se queda en silencio.
Sin notificaciones, sin prisa, sin tener que responderle al mundo.

Solo vos, el momento y lo que realmente importa.

Viajar también es eso: desconectarte un rato para volver a conectar con lo que estás viviendo de verdad.

Porque hay viajes que no se miden en kilómetros… sino en lo que te hacen sentir. 🤍

#viajar #desconectarparaconectar #momentosreales #viajesconalma #slowtravel","A veces, el mejor destino no está en el mapa… 🌍✨",Reflexión viajera,https://www.instagram.com/reel/Dai5ukRulEI/,118,99,0,0,,,6.6,26/9/2026 6:07:38
17861699142645627,3/7/2026 20:17:10,viernes,30/12/1899 20:17:00,Reel,"Si hiciste scroll… ya llegaste tarde 😮‍💨🔥

Esto no fue un concierto, fue UNA LOCURA.
Gente cantando, energía por las nubes y momentos que no se repiten.

@lennykravitz @manuelcarrasco_ @anamenaoficial @alvarodeluna @lolabozzano

Decime la verdad… ¿estuviste o te lo perdiste? 👀👇

#fyp #viral #concierto #madrid #lennykravitz",Si hiciste scroll… ya llegaste tarde 😮‍💨🔥,Eventos / Madrid,https://www.instagram.com/reel/DaVydrKuf0Q/,109,104,2,0,,,3.2,26/9/2026 6:07:38
18098961494334647,3/7/2026 16:25:56,viernes,30/12/1899 16:25:00,Reel,"Lo que pasó esa noche no se explica… se siente 🔥

Luces, energía y miles de personas cantando a la vez.
Un escenario, varios artistas increíbles y momentos que se quedan para siempre.

@lennykravitz @manuelcarrasco_ @anamenaoficial @alvarodeluna @lolabozzano

Esto fue más que música… fue una locura. 🎶✨

Estuviste ahí o te lo perdiste? 👀

#iberdrola #livemusic #lennykravitz #festivalvibes #madrid",Lo que pasó esa noche no se explica… se siente 🔥,Eventos / Madrid,https://www.instagram.com/reel/DaVX9TIOCOV/,7632,889,800,71,6,14,6,26/9/2026 6:07:40
18462697495105887,1/7/2026 17:48:17,miércoles,30/12/1899 17:48:00,Carrusel,"Mini guía Salamanca en 2 días (NO la borres antes de viajar) 🇪🇸✨

Esto NO es una lista típica de monumentos… es la ruta real para ver Salamanca bien en solo 48 horas👇

Salamanca es una de esas ciudades que te atrapan sin avisar: piedra dorada, calles con historia y rincones que parecen de película ✨
Si la visitas sin plan, te vas a perder lo mejor.
.
💡 Guarda esto si quieres recorrer Salamanca sin improvisar mal
📌 Porque 2 días acá pasan más rápido de lo que imaginas 💬 Sos de los que planifica o de los que se pierde sin mapa?
.
.
.
.
.
.

#salamanca #queverensalamanca #salamancaespaña #viajesespaña #escapadas 

📍 Itinerario día 1 en Salamanca
Un día para recorrer el corazón histórico de la ciudad 👇

👑 Plaza Mayor — el alma de Salamanca. Siempre viva, dorada y perfecta a cualquier hora del día

🐚 Casa de las Conchas — fachada única con más de 300 conchas. Uno de los edificios más fotografiados

🔔 Torres de la Clerecía — subí para ver Salamanca desde las alturas. Vistas espectaculares de la ciudad

🎓 Universidad de Salamanca — la más antigua de España. Buscá la rana en la fachada… si la encontras, trae suerte 🐸

🏛️ Palacio / Plaza de Anaya — zona universitaria con mucha vida y arquitectura histórica

⛪ Catedral Vieja y Nueva — dos estilos en un mismo lugar. Desde lo románico hasta lo gótico… y con sorpresa escondida 🚀

🌿 Huerto de Calixto y Melibea — jardín tranquilo con vistas a la catedral. Perfecto para descansar

🌉 Puente Romano del Tormes — más de 2.000 años de historia. El atardecer aca es otro nivel 🌅

🎨 Casa Lis — museo modernista lleno de luz, color y vitrales únicos
.
.
.
.
.
.

#salamanca #queverensalamanca #viajesespaña #itinerariosdeviaje escapadas

📍 Itinerario día 2 en Salamanca
Un día más tranquilo para perderte (literalmente) por la ciudad ✨

🏛️ Convento de San Esteban — una de las fachadas más impresionantes del plateresco. Te deja en silencio mirándolo 😮

🏛️ Convento de las Dueñas — claustro precioso y uno de los rincones más tranquilos del centro histórico

🔔 Torre del Clavero — torre medieval icónica que parece sacada de otra época

🚶‍♀️ Perderte por el casco antiguo — sin mapa, sin ruta… solo caminar entre calles con",Mini guía Salamanca en 2 días (NO la borres antes de viajar) 🇪🇸✨,Guías y rutas,https://www.instagram.com/p/DaQX-ZVjfva/,667,1185,401,63,27,10,,26/9/2026 6:07:42
17948852667229121,30/6/2026 18:01:40,martes,30/12/1899 18:01:00,Reel,"⚠️ Pará un segundo.

¿De verdad necesitás más cosas… o más momentos?

Hay algo que solo entendés viajando:
no es lo que comprás… es lo que vivís.

Esos momentos que no se planean,
que llegan sin avisar
y se quedan con vos para siempre 🌍

Porque lo que vivís… no se pierde.

💭 Comentá con un emoji ese momento que repetirías mil veces
📌 Guardalo para cuando necesites acordarte de esto
📤 Y mandáselo a esa persona con la que te irías ya

#viajar #travelgram #wanderlust #experiencias #momentos",⚠️ Pará un segundo.,Reflexión viajera,https://www.instagram.com/reel/DaN0pcQtiAH/,232,172,3,0,,4,3.4,26/9/2026 6:07:43
